organization,repository,ecosystem,package,version_spec,license,source_file,lookup_error
vector-charts,vector-charts-portal,npm,websocket-stream,^5.5.2,BSD-2-Clause,services/backend/package.json,
vector-charts,vector-charts-portal,npm,winston,^3.3.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,xss-clean,^0.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,yamljs,^0.3.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/cli,^7.14.8,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/core,^7.15.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/eslint-parser,^7.15.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/node,^7.14.9,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/preset-env,^7.15.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@babel/register,^7.15.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,babel-plugin-istanbul,^6.0.0,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-portal,npm,chai,^4.3.4,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,chai-arrays,^2.2.0,ISC,services/backend/package.json,
vector-charts,vector-charts-portal,npm,chai-as-promised,^7.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,eslint-config-prettier,^8.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,eslint-plugin-mocha,^9.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,eslint-plugin-prefer-import,^0.0.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,eslint-plugin-prettier,^3.4.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,eslint-plugin-security,^1.4.0,Apache-2.0,services/backend/package.json,
